F, концентрация, uгр/гр;R_F_Concentaration
F, погрешность, %;R_F_Error
F, предел обнаружения, uгр/гр;R_F_Detection_Limit
Na, концентрация, uгр/гр;R_Na_Concentaration
Na, погрешность, %;R_Na_Error
Na, предел обнаружения, uгр/гр;R_Na_Detection_Limit
Mg, концентрация, uгр/гр;R_Mg_Concentaration
Mg, погрешность, %;R_Mg_Error
Mg, предел обнаружения, uгр/гр;R_Mg_Detection_Limit
Al, концентрация, uгр/гр;R_Al_Concentaration
Al, погрешность, %;R_Al_Error
Al, предел обнаружения, uгр/гр;R_Al_Detection_Limit
Si, концентрация, uгр/гр;R_Si_Concentaration
Si, погрешность, %;R_Si_Error
Si, предел обнаружения, uгр/гр;R_Si_Detection_Limit
S, концентрация, uгр/гр;R_S_Concentaration
S, погрешность, %;R_S_Error
S, предел обнаружения, uгр/гр;R_S_Detection_Limit
Cl, концентрация, uгр/гр;R_Cl_Concentaration
Cl, погрешность, %;R_Cl_Error
Cl, предел обнаружения, uгр/гр;R_Cl_Detection_Limit
K, концентрация, uгр/гр;R_K_Concentaration
K, погрешность, %;R_K_Error
K, предел обнаружения, uгр/гр;R_K_Detection_Limit
Ca, концентрация, uгр/гр;R_Ca_Concentaration
Ca, погрешность, %;R_Ca_Error
Ca, предел обнаружения, uгр/гр;R_Ca_Detection_Limit
Sc, концентрация, uгр/гр;R_Sc_Concentaration
Sc, погрешность, %;R_Sc_Error
Sc, предел обнаружения, uгр/гр;R_Sc_Detection_Limit
Ti, концентрация, uгр/гр;R_Ti_Concentaration
Ti, погрешность, %;R_Ti_Error
Ti, предел обнаружения, uгр/гр;R_Ti_Detection_Limit
V, концентрация, uгр/гр;R_V_Concentaration
V, погрешность, %;R_V_Error
V, предел обнаружения, uгр/гр;R_V_Detection_Limit
Cr, концентрация, uгр/гр;R_Cr_Concentaration
Cr, погрешность, %;R_Cr_Error
Cr, предел обнаружения, uгр/гр;R_Cr_Detection_Limit
Mn, концентрация, uгр/гр;R_Mn_Concentaration
Mn, погрешность, %;R_Mn_Error
Mn, предел обнаружения, uгр/гр;R_Mn_Detection_Limit
Fe, концентрация, uгр/гр;R_Fe_Concentaration
Fe, погрешность, %;R_Fe_Error
Fe, предел обнаружения, uгр/гр;R_Fe_Detection_Limit
Co, концентрация, uгр/гр;R_Co_Concentaration
Co, погрешность, %;R_Co_Error
Co, предел обнаружения, uгр/гр;R_Co_Detection_Limit
Ni, концентрация, uгр/гр;R_Ni_Concentaration
Ni, погрешность, %;R_Ni_Error
Ni, предел обнаружения, uгр/гр;R_Ni_Detection_Limit
Cu, концентрация, uгр/гр;R_Cu_Concentaration
Cu, погрешность, %;R_Cu_Error
Cu, предел обнаружения, uгр/гр;R_Cu_Detection_Limit
Zn, концентрация, uгр/гр;R_Zn_Concentaration
Zn, погрешность, %;R_Zn_Error
Zn, предел обнаружения, uгр/гр;R_Zn_Detection_Limit
Ga, концентрация, uгр/гр;R_Ga_Concentaration
Ga, погрешность, %;R_Ga_Error
Ga, предел обнаружения, uгр/гр;R_Ga_Detection_Limit
